pid,name,username,status,create_time,cpu_times,memory_info,memory_percent
3920,winlogon.exe,,running,2023-12-14 14:18:13,3:44:38.738654,"pmem(rss=11161600, vms=2613248, num_page_faults=29637, peak_wset=26959872, wset=11161600, peak_paged_pool=179880, paged_pool=147768, peak_nonpaged_pool=30368, nonpaged_pool=12840, pagefile=2613248, peak_pagefile=3141632, private=2613248)",0.06747132097456814
4088,svchost.exe,,running,2023-12-14 12:07:00,5:55:51.001488,"pmem(rss=22523904, vms=6512640, num_page_faults=11731, peak_wset=24190976, wset=22523904, peak_paged_pool=207064, paged_pool=189016, peak_nonpaged_pool=258464, nonpaged_pool=28000, pagefile=6512640, peak_pagefile=7249920, private=6512640)",0.13615588772078907
4100,AutoConnectHelper.exe,HAL-9000\PrisonMike,running,2023-12-14 16:46:50,1:16:00.910814,"pmem(rss=41336832, vms=39333888, num_page_faults=17040, peak_wset=46014464, wset=41336832, peak_paged_pool=473632, paged_pool=468832, peak_nonpaged_pool=199184, nonpaged_pool=79888, pagefile=39333888, peak_pagefile=39653376, private=39333888)",0.24987910872489605
4104,RtkAudUService64.exe,HAL-9000\PrisonMike,running,2023-12-14 14:18:34,3:44:17.467143,"pmem(rss=13844480, vms=5533696, num_page_faults=5679, peak_wset=16031744, wset=13844480, peak_paged_pool=225688, paged_pool=217192, peak_nonpaged_pool=16848, nonpaged_pool=14736, pagefile=5533696, peak_pagefile=5754880, private=5533696)",0.08368919812625332
4232,SystemSettingsBroker.exe,HAL-9000\PrisonMike,running,2023-12-14 14:18:57,3:43:54.398961,"pmem(rss=40833024, vms=12750848, num_page_faults=31435, peak_wset=46510080, wset=40833024, peak_paged_pool=495304, paged_pool=460656, peak_nonpaged_pool=105184, nonpaged_pool=31472, pagefile=12750848, peak_pagefile=23855104, private=12750848)",0.24683361423686964
4260,dasHost.exe,,running,2023-12-14 12:04:53,5:57:58.387272,"pmem(rss=17293312, vms=6266880, num_page_faults=13879, peak_wset=18264064, wset=17293312, peak_paged_pool=135560, paged_pool=121776, peak_nonpaged_pool=164640, nonpaged_pool=21280, pagefile=6266880, peak_pagefile=6881280, private=6266880)",0.10453721730445016
4328,msedge.exe,HAL-9000\PrisonMike,running,2023-12-14 14:18:40,3:44:11.237023,"pmem(rss=30437376, vms=10231808, num_page_faults=28822, peak_wset=32870400, wset=30437376, peak_paged_pool=781032, paged_pool=772616, peak_nonpaged_pool=363672, nonpaged_pool=20424, pagefile=10231808, peak_pagefile=11792384, private=10231808)",0.18399243528881315
4380,WmiPrvSE.exe,,running,2023-12-14 12:04:53,5:57:58.334076,"pmem(rss=23937024, vms=14082048, num_page_faults=277903, peak_wset=53481472, wset=23937024, peak_paged_pool=296624, paged_pool=102872, peak_nonpaged_pool=205064, nonpaged_pool=19920, pagefile=14082048, peak_pagefile=45338624, private=14082048)",0.14469812835793622
4476,svchost.exe,HAL-9000\PrisonMike,running,2023-12-14 14:20:19,3:42:32.694790,"pmem(rss=21950464, vms=5488640, num_page_faults=25696, peak_wset=23998464, wset=21950464, peak_paged_pool=217016, paged_pool=214336, peak_nonpaged_pool=27912, nonpaged_pool=26144, pagefile=5488640, peak_pagefile=7753728, private=5488640)",0.13268947123035252
4596,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.068944,"pmem(rss=13082624, vms=3514368, num_page_faults=285813, peak_wset=73822208, wset=13082624, peak_paged_pool=318888, paged_pool=123024, peak_nonpaged_pool=26672, nonpaged_pool=17736, pagefile=3514368, peak_pagefile=67481600, private=3514368)",0.07908381621753051
4604,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.077269,"pmem(rss=5746688, vms=1363968, num_page_faults=3521, peak_wset=6189056, wset=5746688, peak_paged_pool=77024, paged_pool=75168, peak_nonpaged_pool=9512, nonpaged_pool=8288, pagefile=1363968, peak_pagefile=1564672, private=1363968)",0.03473844525773178
4612,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.088185,"pmem(rss=9793536, vms=2629632, num_page_faults=72369, peak_wset=10285056, wset=9793536, peak_paged_pool=95456, paged_pool=92792, peak_nonpaged_pool=309816, nonpaged_pool=16384, pagefile=2629632, peak_pagefile=3096576, private=2629632)",0.05920144163309814
4672,SearchFilterHost.exe,,running,2023-12-14 14:50:44,3:12:07.547642,"pmem(rss=16875520, vms=16068608, num_page_faults=722122, peak_wset=33570816, wset=16875520, peak_paged_pool=234752, paged_pool=190104, peak_nonpaged_pool=20248, nonpaged_pool=19568, pagefile=16068608, peak_pagefile=93859840, private=16068608)",0.10201168528998926
